Application ID,Application
c44b4083-3bb0-49c1-b47d-974e53cbdf3c,IbizaPortal
905fcf26-4eb7-48a0-9ff0-8dcc7194b5ba,Sway
b10686fd-6ba8-49f2-a3cd-67e4d2f52ac8,NovoEd
c606301c-f764-4e6b-aa45-7caaaea93c9a,OfficeStore
569e8598-685b-4ba2-8bff-5bced483ac46,Evercontact
aaf214cc-8013-4b95-975f-13203ae36039,Power BI Tiles
d88a361a-d488-4271-a13f-a83df7dd99c2,IDML Graph Resolver Service and CAD
dff9b531-6290-4620-afce-26826a62a4e7,DocuSign
01cb2876-7ebd-4aa4-9cc9-d28bd4d359a9,Device Registration Service
3290e3f7-d3ac-4165-bcef-cf4874fc4270,Smartsheet
0f6edad5-48f2-4585-a609-d252b1c52770,AIGraphClient
0c8139b5-d545-4448-8d2b-2121bb242680,BillingExtension
475226c6-020e-4fb2-8a90-7a972cbfc1d4,KratosAppsService
39624784-6cbe-4a60-afbe-9f46d10fdb27,SkypeForBusinessRemotePowershell
8bdebf23-c0fe-4187-a378-717ad86f6a53,ResourceHealthRP
c161e42e-d4df-4a3d-9b42-e7a3c31f59d4,MicrosoftIntuneAPI
9cb77803-d937-493e-9a3b-4b49de3f5a74,MicrosoftIntuneServiceDiscovery
ddbf3205-c6bd-46ae-8127-60eb93363864,Microsoft Azure Batch
80ccca67-54bd-44ab-8625-4b79c4dc7775,ComplianceCenter
0a5f63c0-b750-4f38-a71c-4fc0d58b89e2,Microsoft Mobile Application Management
e1335bb1-2aec-4f92-8140-0e6e61ae77e5,CIWebService
75018fbe-21fe-4a57-b63c-83252b5eaf16,TeamImprover - Team Organization Chart
a393296b-5695-4463-97cb-9fa8638a494a,My SharePoint Sites
fe217466-5583-431c-9531-14ff7268b7b3,Microsoft Education
5bfe8a29-054e-4348-9e7a-3981b26b125f,Bing Places for Business
eaf8a961-f56e-47eb-9ffd-936e22a554ef,DevilFish
4b4b1d56-1f03-47d9-a0a3-87d4afc913c9,Wunderlist
00000003-0000-0000-c000-000000000000,Microsoft Graph
60e6cd67-9c8c-4951-9b3c-23c25a2169af,Compute Resource Provider
507bc9da-c4e2-40cb-96a7-ac90df92685c,Office365Reports
09abbdfd-ed23-44ee-a2d9-a627aa1c90f3,ProjectWorkManagement
28ec9756-deaf-48b2-84d5-a623b99af263,Office Personal Assistant at Work Service
9e4a5442-a5c9-4f6f-b03f-5b9fcaaf24b1,OfficeServicesManager
3138fe80-4087-4b04-80a6-8866c738028a,SharePoint Notification Service
d2a0a418-0aac-4541-82b2-b3142c89da77,MicrosoftAzureOperationalInsights
2cf9eb86-36b5-49dc-86ae-9a63135dfa8c,AzureTrafficManagerandDNS
32613fc5-e7ac-4894-ac94-fbc39c9f3e4a,OAuth Sandbox
925eb0d0-da50-4604-a19f-bd8de9147958,Groupies Web Service
e4ab13ed-33cb-41b4-9140-6e264582cf85,Azure SQL Database Backup To Azure Backup Vault
ad230543-afbe-4bb4-ac4f-d94d101704f8,Apiary for Power BI
11cd3e2e-fccb-42ad-ad00-878b93575e07,Automated Call Distribution
de17788e-c765-4d31-aba4-fb837cfff174,Skype for Business Management Reporting and Analytics
65d91a3d-ab74-42e6-8a2f-0add61688c74,Microsoft Approval Management
5225545c-3ebd-400f-b668-c8d78550d776,Office Agent Service
1cda9b54-9852-4a5a-96d4-c2ab174f9edf,O365Account
4747d38e-36c5-4bc3-979b-b0ef74df54d1,PushChannel
b97b6bd4-a49f-4a0c-af18-af507d1da76c,Office Shredding Service
d4ebce55-015a-49b5-a083-c84d1797ae8c,Microsoft Intune Enrollment
5b20c633-9a48-4a5f-95f6-dae91879051f,Azure Information Protection
441509e5-a165-4363-8ee7-bcf0b7d26739,EnterpriseAgentPlatform
e691bce4-6612-4025-b94c-81372a99f77e,Boomerang
8edd93e1-2103-40b4-bd70-6e34e586362d,Windows Azure Security Resource Provider
94c63fef-13a3-47bc-8074-75af8c65887a,Office Delve
e95d8bee-4725-4f59-910d-94d415da51b9,Skype for Business Name Dictionary Service
8602e328-9b72-4f2d-a4ae-1387d013a2b3,Azure API Management
8b3391f4-af01-4ee8-b4ea-9871b2499735,O365 Secure Score
c26550d6-bc82-4484-82ca-ac1c75308ca3,Office 365 YammerOnOls
33be1cef-03fb-444b-8fd3-08ca1b4d803f,OneDrive Web
dcad865d-9257-4521-ad4d-bae3e137b345,Microsoft SharePoint Online - SharePoint Home
b2cc270f-563e-4d8a-af47-f00963a71dcd,OneProfile Service
4660504c-45b3-4674-a709-71951a6b0763,Microsoft Invitation Acceptance Portal
ba23cd2a-306c-48f2-9d62-d3ecd372dfe4,OfficeGraph
d52485ee-4609-4f6b-b3a3-68b6f841fa23,On-Premises Data Gateway Connector
996def3d-b36c-4153-8607-a6fd3c01b89f,Dynamics 365 for Financials
b6b84568-6c01-4981-a80f-09da9a20bbed,Microsoft Invoicing
9d3e55ba-79e0-4b7c-af50-dc460b81dca1,Microsoft Azure Data Catalog
4345a7b9-9a63-4910-a426-35363201d503,O365 Suite UX
bb8f18b0-9c38-48c9-a847-e1ef3af0602d,Microsoft.Azure.ActiveDirectoryIUX
cc15fd57-2c6c-4117-a88c-83b1d56b4bbe,Microsoft Teams Services
5e3ce6c0-2b1f-4285-8d4b-75ee78787346,Skype Teams
1fec8e78-bce4-4aaf-ab1b-5451cc387264,Microsoft Teams
6d32b7f8-782e-43e0-ac47-aaad9f4eb839,Permission Service O365
cdccd920-384b-4a25-897d-75161a4b74c1,Skype Teams Firehose
1c0ae35a-e2ec-4592-8e08-c40884656fa5,Skype Team Substrate connector
cf6c77f8-914f-4078-baef-e39a5181158b,Skype Teams Settings Store
64f79cb9-9c82-4199-b85b-77e35b7dcbcb,Microsoft Teams Bots
b7912db9-aa33-4820-9d4f-709830fdd78f,ConnectionsService
82f77645-8a66-4745-bcdf-9706824f9ad0,PowerApps Runtime Service
6204c1d1-4712-4c46-a7d9-3ed63d992682,Microsoft Flow Portal
7df0a125-d3be-4c96-aa54-591f83ff541c,Microsoft Flow Service
331cc017-5973-4173-b270-f0042fddfd75,PowerAppsService
df09ff61-2178-45d8-888c-4210c1c7b0b2,O365 UAP Processor
8338dec2-e1b3-48f7-8438-20c30a534458,ViewPoint
00000001-0000-0000-c000-000000000000,Azure ESTS Service
394866fc-eedb-4f01-8536-3ff84b16be2a,Microsoft People Cards Service
0a0a29f9-0a25-49c7-94bf-c53c3f8fa69d,Cortana Experience with O365
bb2a2e3a-c5e7-4f0a-88e0-8e01fd3fc1f4,CPIM Service
0004c632-673b-4105-9bb6-f3bbd2a927fe,PowerApps and Flow
d3ce4cf8-6810-442d-b42e-375e14710095,Graph Explorer
3aa5c166-136f-40eb-9066-33ac63099211,O365 Customer Monitoring
d6fdaa33-e821-4211-83d0-cf74736489e1,Microsoft Service Trust
ef4a2a24-4b4e-4abf-93ba-cc11c5bd442c,Edmodo
b692184e-b47f-4706-b352-84b288d2d9ee,Microsoft.MileIQ.RESTService
a25dbca8-4e60-48e5-80a2-0664fdb5c9b6,Microsoft.MileIQ
f7069a8d-9edc-4300-b365-ae53c9627fc4,Microsoft.MileIQ.Dashboard
02e3ae74-c151-4bda-b8f0-55fbf341de08,Application Registration Portal
1f5530b3-261a-47a9-b357-ded261e17918,Azure Multi-Factor Auth Connector
981f26a1-7f43-403b-a875-f8b09b8cd720,Azure Multi-Factor Auth Client
6ea8091b-151d-447a-9013-6845b83ba57b,AD Hybrid Health
fc68d9e5-1f76-45ef-99aa-214805418498,Azure AD Identity Protection
01fc33a7-78ba-4d2f-a4b7-768e336e890e,MS-PIM
a6aa9161-5291-40bb-8c5c-923b567bee3b,Storage Resource Provider
4e9b8b9a-1001-4017-8dd1-6e8f25e19d13,Adobe Acrobat
159b90bb-bb28-4568-ad7c-adad6b814a2f,LastPass
b4bddae8-ab25-483e-8670-df09b9f1d0ea,Signup
aa580612-c342-4ace-9055-8edee43ccb89,Microsoft StaffHub
51133ff5-8e0d-4078-bcca-84fb7f905b64,Microsoft Teams Mailhook
ab3be6b7-f5df-413d-ac2d-abf1e3fd9c0b,Microsoft Teams Graph Service
b1379a75-ce5e-4fa3-80c6-89bb39bf646c,Microsoft Teams Chat Aggregator
48af08dc-f6d2-435f-b2a7-069abd99c086,Connectors
cfa8b339-82a2-471a-a3c9-0fc0be7a4093,Azure Key Vault
c2f89f53-3971-4e09-8656-18eed74aee10,calendly
6da466b6-1d13-4a2c-97bd-51a99e8d4d74,Exchange Office Graph Client for AAD - Interactive
0eda3b13-ddc9-4c25-b7dd-2f6ea073d6b7,Microsoft Flow CDS Integration Service
eacba838-453c-4d3e-8c6a-eb815d3469a3,Microsoft Flow CDS Integration Service TIP1
4ac7d521-0382-477b-b0f8-7e1d95f85ca2,SQL Server Analysis Services Azure
b4114287-89e4-4209-bd99-b7d4919bcf64,OfficeDelve
4580fd1d-e5a3-4f56-9ad1-aab0e3bf8f76,Call Recorder
a855a166-fd92-4c76-b60d-a791e0762432,Microsoft Teams VSTS
fc75330b-179d-49af-87dd-3b1acf6827fa,AzureAutomationAADPatchS2S
766d89a4-d6a6-444d-8a5e-e1a18622288a,OneDrive
4c4f550b-42b2-4a16-93f9-fdb9e01bb6ed,Targeted Messaging Service
765fe668-04e7-42ba-aec0-2c96f1d8b652,Exchange Office Graph Client for AAD - Noninteractive
0130cc9f-7ac5-4026-bd5f-80a08a54e6d9,Azure Data Warehouse Polybase
a1cf9e0a-fe14-487c-beb9-dd3360921173,Meetup
76cd24bf-a9fc-4344-b1dc-908275de6d6d,Azure SQL Virtual Network to Network Resource Provider
9f505dbd-a32c-4685-b1c6-72e4ef704cb0,Amazon Alexa
1e2ca66a-c176-45ea-a877-e87f7231e0ee,Microsoft B2B Admin Worker
2634dd23-5e5a-431c-81ca-11710d9079f4,Microsoft Stream Service
cf53fce8-def6-4aeb-8d30-b158e7b1cf83,Microsoft Stream Portal
c9a559d2-7aab-4f13-a6ed-e7e9c52aec87,Microsoft Forms
978877ea-b2d6-458b-80c7-05df932f3723,Microsoft Teams AuditService
dbc36ae1-c097-4df9-8d94-343c3d091a76,Service Encryption
fa7ff576-8e31-4a58-a5e5-780c1cd57caa,OneNote
cb4dc29f-0bf4-402a-8b30-7511498ed654,Power BI Premium
f5aeb603-2a64-4f37-b9a8-b544f3542865,Microsoft Teams RetentionHook Service
da109bdd-abda-4c06-8808-4655199420f8,Glip Contacts
76c7f279-7959-468f-8943-3954880e0d8c,Azure SQL Managed Instance to Microsoft.Network
3a9ddf38-83f3-4ea1-a33a-ecf934644e2d,Protected Message Viewer
5635d99c-c364-4411-90eb-764a511b5fdf,Responsive Banner Slider
a43e5392-f48b-46a4-a0f1-098b5eeb4757,Cloudsponge
d73f4b35-55c9-48c7-8b10-651f6f2acb2e,MCAPI Authorization Prod
166f1b03-5b19-416f-a94b-1d7aa2d247dc,Office Hive
9d06afd9-66c9-49a6-b385-ea7509332b0b,O365SBRM Service
9ea1ad79-fdb6-4f9a-8bc3-2b70f96e34c7,Bing
57fb890c-0dab-4253-a5e0-7188c88b2bb4,SharePoint Online Client
45c10911-200f-4e27-a666-9e9fca147395,drawio
b73f62d0-210b-4396-a4c5-ea50c4fab79b,Skype Business Voice Fraud Detection and Prevention
bc59ab01-8403-45c6-8796-ac3ef710b3e3,Outlook Online Add-in App
035f9e1d-4f00-4419-bf50-bf2d87eb4878,Azure Monitor Restricted
7c33bfcb-8d33-48d6-8e60-dc6404003489,Network Watcher
a0be0c72-870e-46f0-9c49-c98333a996f7,AzureDnsFrontendApp
1e3e4475-288f-4018-a376-df66fd7fac5f,NetworkTrafficAnalyticsService
7557eb47-c689-4224-abcf-aef9bd7573df,Skype for Business
c39c9bac-9d1f-4dfb-aa29-27f6365e5cb7,Azure Advisor
2087bd82-7206-4c0a-b305-1321a39e5926,Microsoft To-Do
f8d98a96-0999-43f5-8af3-69971c7bb423,iOS Accounts
c27373d3-335f-4b45-8af9-fe81c240d377,P2P Server
5c2ffddc-f1d7-4dc3-926e-3c1bd98e32bd,RITS Dev
982bda36-4632-4165-a46a-9863b1bbcf7d,O365 Demeter
98c8388a-4e86-424f-a176-d1288462816f,OfficeFeedProcessors
bf9fc203-c1ff-4fd4-878b-323642e462ec,Jarvis Transaction Service
257601fd-462f-4a21-b623-7f719f0f90f4,Centralized Deployment
2a486b53-dbd2-49c0-a2bc-278bdfc30833,Cortana at Work Service
22d7579f-06c2-4baa-89d2-e844486adb9d,Cortana at Work Bing Services
4c8f074c-e32b-4ba7-b072-0f39d71daf51,IPSubstrate
a164aee5-7d0a-46bb-9404-37421d58bdf7,Microsoft Teams AuthSvc
354b5b6d-abd6-4736-9f51-1be80049b91f,Microsoft Mobile Application Management Backend
82b293b2-d54d-4d59-9a95-39c1c97954a7,Tasks in a Box
fdc83783-b652-4258-a622-66bc85f1a871,FedExPackageTracking
d0597157-f0ae-4e23-b06c-9e65de434c4f,Microsoft Teams Task Service
f5c26e74-f226-4ae8-85f0-b4af0080ac9e,Application Insights API
57c0fc58-a83a-41d0-8ae9-08952659bdfd,Azure Cosmos DB Virtual Network To Network Resource Provider
744e50be-c4ff-4e90-8061-cd7f1fabac0b,LinkedIn Microsoft Graph Connector
823dfde0-1b9a-415a-a35a-1ad34e16dd44,Microsoft Teams Wiki Images Migration
3ab9b3bc-762f-4d62-82f7-7e1d653ce29f,Microsoft Volume Licensing
44eb7794-0e11-42b6-800b-dc31874f9f60,Alignable
c58637bb-e2e1-4312-8a00-04b5ffcd3403,SharePoint Online Client Extensibility
62b732f7-fc71-40bc-b27d-35efcb0509de,Microsoft Teams AadSync
07978fee-621a-42df-82bb-3eabc6511c26,SurveyMonkey
47ee738b-3f1a-4fc7-ab11-37e4822b007e,Azure AD Application Proxy
00000007-0000-0000-c000-000000000000,Dynamics CRM Online
913c6de4-2a4a-4a61-a9ce-945d2b2ce2e0,Dynamics Lifecycle services
f217ad13-46b8-4c5b-b661-876ccdf37302,Attach OneDrive files to Asana
00000008-0000-0000-c000-000000000000,Microsoft.Azure.DataMarket
9b06ebd4-9068-486b-bdd2-dac26b8a5a7a,Microsoft.DynamicsMarketing
e8ab36af-d4be-4833-a38b-4d6cf1cfd525,Microsoft Social Engagement
8909aac3-be91-470c-8a0b-ff09d669af91,Microsoft Parature Dynamics CRM
71234da4-b92f-429d-b8ec-6e62652e50d7,Microsoft Customer Engagement Portal
b861dbcc-a7ef-4219-a005-0e4de4ea7dcf,Data Export Service for Microsoft Dynamics 365
2db8cb1d-fb6c-450b-ab09-49b6ae35186b,Microsoft Dynamics CRM Learning Path
2e49aa60-1bd3-43b6-8ab6-03ada3d9f08b,Dynamics Data Integration
89bee1f7-5e6e-4d8a-9f3d-ecd601259da7,Office 365 Shell Suite
d3590ed6-52b3-4102-aeff-aad2292ab01c,Microsoft Office
e48d4214-364e-4731-b2b6-47dabf529218,Skype Web
a0c73c16-a7e3-4564-9a95-2bdf47383716,Exchange Management Shell (powershell)
1b730954-1685-4b74-9bfd-dac224a7b894,Global PowerShell
80a10ef9-8168-493d-abf9-3297c4ef6e3c,Microsoft.ServiceBus
0ec2d138-5a70-4a33-b2c7-7d296c996ace,Microsoft Photos
0736f41a-0425-4b46-bdb5-1563eff02385,Azure Machine Learning
66244124-575c-4284-92bc-fdd00e669cea,IAMTenantCrawler
562e1694-7fae-4b07-b69f-7560ae99bb05,Workflow
e9f49c6b-5ce5-44c8-925d-015017e9f7ad,Azure Data Lake
bbb99509-a5fe-40f4-9c26-b892bc6ac9c0,Workflow
60850bcf-0ed0-4f34-bb47-8697b26ec0fd,Workflow
6bccf540-eb86-4037-af03-7fa058c2db75,Geneva Alert RP
7b7531ad-5926-4f2d-8a1d-38495ad33e17,Azure Advanced Threat Protection
3af5a1e8-2459-45cb-8683-bcd6cccbcc13,Azure Smart Alerts
45a330b1-b1ec-4cc1-9161-9f03992aa49f,Windows Store for Business
46dc8a63-d44f-48c5-8cb2-1ffe4d3fbacb,OxBlue Interface Single Sign On
870c4f2e-85b6-4d43-bdda-6ed9a579b725,Microsoft Information Sync Service
66a88757-258c-4c72-893c-3e8bed4d6899,Office 365 Search Service
2ff814a6-3304-4ab8-85cb-cd0e6f879c1d,AzureDatabricks
241f691a-2424-4ef0-9161-57b7249e2bfc,Sharegate
a47591ab-e23e-4ffa-9e1b-809b9067e726,Microsoft Teams User Profile Search Service
a0e1e353-1a3e-42cf-a8ea-3a9746eec58c,Microsoft
fdde1e98-e665-4260-a642-9b51c983f156,cloudHQ Office365 OneDrive
a4bad4aa-bf02-4631-9f78-a64ffdba8150,Data Migration Service
b20d0d3a-dc90-485b-ad11-6031e769e221,SalesInsightsWebApp
0cd196ee-71bf-4fd6-a57c-b491ffd4fb1e,Media Analysis and Transformation Service
95de633a-083e-42f5-b444-a4295d8e9314,Microsoft Whiteboard Services
cf7cfb15-601e-4df5-93e4-541fe820c33c,Workflow
1996141e-2b07-4491-927a-5a024b335c78,Microsoft Teams UIS
4b5e1344-2351-f7ac-f195-6ecb1d6b5483,Workflow
793fee30-4e36-4f8a-8eb0-9728a289d5f8,Workflow
26a18ebc-cdf7-4a6a-91cb-beb352805e81,Skype Teams Calling API Service
2bb78a2a-f8f1-4bc3-8ecf-c1e15a0726e6,MicrosoftTeamsCortanaSkills
19947cfd-0303-466c-ac3c-fcc19a7a1570,Azure DNS
80369ed6-5f11-4dd9-bef3-692475845e77,Microsoft.EventHubs
4204a689-25aa-4d5f-8458-d1dfe7d3b4a8,Workflow
8f41dc7c-542c-4bdd-8eb3-e60543f607ca,Microsoft Device Directory Service
09a984f4-014c-43de-ae0c-7ec73dc053d3,BenefitsFD
39e6ea5b-4aa4-4df2-808b-b6b5fb8ada6f,Dynamics Provision
f25a7567-8ec5-4582-8a65-bfd66b0530cc,ReportReplica
2e280d21-3433-4b54-a9ee-03ac8a0f5b7b,Programmer's-Admin
71a7c376-13e6-4100-968e-92ce98c5d3d2,Weve
60c86dd2-b3cf-4f89-9af6-ab1144465ac0,CamCard for Outlook
d7097cd1-c779-44d0-8c71-ab1f8386a97e,Microsoft Office Licensing Service Agents
434c7e91-d2b4-4623-a9a3-f60b5412317d,Workflow
b51a99a9-ccaa-4687-aa2c-44d1558295f4,Microsoft Exact Data Match Upload Agent
0d973830-135d-4ffa-92cd-4c57650dc220,Azure Notebooks
3befd9dc-dfb4-4df9-a029-739b8b9b95ff,Cisco Webex
ab9b8c07-8f02-4f72-87fa-80105867a763,Unknown
aed8c6c1-22ce-466f-8d04-81daba240b0f,Unknown
